Pergunta,Resposta
"Como faço para acessar a portaria?","Você deve apresentar seu documento de identidade e informar o motivo da visita."
"Quais documentos são aceitos para identificação?","Aceitamos RG, CNH ou passaporte."
"É necessário agendar a visita com antecedência?","Sim, todas as visitas devem ser agendadas com pelo menos 24 horas de antecedência."
"O que devo fazer se eu perder o crachá de visitante?","Informe imediatamente à portaria para que um novo crachá seja emitido."
"Posso levar acompanhantes?","Sim, mas todos os acompanhantes devem ser registrados e apresentar documento de identidade."
"Qual é o horário de funcionamento da portaria?","A portaria funciona 24 horas por dia, todos os dias da semana."
"Há restrições para certos tipos de visitas?","Sim, visitas para serviços de manutenção devem ser previamente autorizadas."
"Como é feito o controle de entrada e saída?","Utilizamos um sistema eletrônico de registro de entrada e saída com crachás de visitantes."
"O que devo fazer ao sair do prédio?","Você deve devolver o crachá de visitante na portaria."
"Quais são as medidas de segurança na portaria?","Temos vigilância 24 horas, câmeras de segurança e controle de acesso rigoroso."
"O que é o C3", "É o centro de comunicação, comando e controle da Acelen"